id,full_name,state,name,y,x,category,description
1,Springfield, MA,Abiding Truth Ministries,42.063595,-72.621534,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
2,Scottsdale, AZ,Alliance Defending Freedom,33.448029,-111.960816,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
3,Gainesville, FL,American College of Pediatricians,29.601988,-82.420516,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
4,Tupelo, MS,American Family Association,34.203781,-88.80041,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
5,Franklin, PA,American Family Association,41.372184,-79.87247,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
6,Naperville, IL,Americans for Truth About Homosexuality,41.670164,-88.235278,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
7,Powder Springs, GA,American Vision,33.841433,-84.724536,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
8,New York, NY,ATLAH World Missionary Church ,40.496044,-74.255735,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
9,Terre Haute, IN,Campus Ministry USA ,39.401571,-87.469721,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
10,Washington, DC,Center for Family and Human Rights,38.803149,-77.11974,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
11,New York, NY,Center for Family and Human Rights,40.496044,-74.255735,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
12,Vallecito, CA,Chalcedon Foundation,38.039329,-120.497483,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
13,Cincinnati, OH,Citizens for Community Values,39.051921,-84.712048,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
14,Houston, TX,Conservative Republicans of Texas,29.523624,-95.788087,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
15,Fort Lauderdale, FL,D. James Kennedy Ministries ,26.070365,-80.203969,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
16,Greenville, GA,Faith Baptist Church ,33.017052,-84.729978,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
17,North Royalton, OH,Faith2Action,41.27645,-81.785339,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
