id,full_name,state,name,x,y,category
1,Springfield, MA,Abiding Truth Ministries,42.063595,-72.621534,antilgbt
2,Scottsdale, AZ,Alliance Defending Freedom,33.448029,-111.960816,antilgbt
3,Gainesville, FL,American College of Pediatricians,29.601988,-82.420516,antilgbt
4,Tupelo, MS,American Family Association,34.203781,-88.80041,antilgbt
5,Franklin, PA,American Family Association,41.372184,-79.87247,antilgbt
6,Naperville, IL,Americans for Truth About Homosexuality,41.670164,-88.235278,antilgbt
7,Powder Springs, GA,American Vision,33.841433,-84.724536,antilgbt
8,New York, NY,ATLAH World Missionary Church ,40.496044,-74.255735,antilgbt
9,Terre Haute, IN,Campus Ministry USA ,39.401571,-87.469721,antilgbt
10,Washington, DC,Center for Family and Human Rights,38.803149,-77.11974,antilgbt
11,New York, NY,Center for Family and Human Rights,40.496044,-74.255735,antilgbt
12,Vallecito, CA,Chalcedon Foundation,38.039329,-120.497483,antilgbt
13,Cincinnati, OH,Citizens for Community Values,39.051921,-84.712048,antilgbt
14,Houston, TX,Conservative Republicans of Texas,29.523624,-95.788087,antilgbt
15,Fort Lauderdale, FL,D. James Kennedy Ministries ,26.070365,-80.203969,antilgbt
16,Greenville, GA,Faith Baptist Church ,33.017052,-84.729978,antilgbt
17,North Royalton, OH,Faith2Action,41.27645,-81.785339,antilgbt
18,Tempe, AZ,Faithful Word Baptist Church,33.319861,-111.978976,antilgbt
19,Washington, DC,Family Research Council,38.803149,-77.11974,antilgbt
20,Colorado Springs, CO,Family Research Institute,38.71603,-104.917822,antilgbt
21,Gilbert, AZ,Family Watch International,33.204638,-111.841854,antilgbt
22,Elizabeth, CO,Generations With Vision,39.346603,-104.616856,antilgbt
23,Downers Grove, IL,Heterosexuals Organized for a Moral Environment,41.743653,-88.05745,antilgbt
24,Carol Stream, IL,Illinois Family Institute,41.888027,-88.174862,antilgbt
25,Peoria, IL,Illinois Family Institute Tri-County chapter,40.651938,-89.698281,antilgbt
26,Orlando, FL,Liberty Counsel,28.347986,-81.50773,antilgbt
27,Waltham, MA,Mass Resistance,42.353715,-71.285501,antilgbt
28,Torrance, CA,Mass Resistance,33.780217,-118.394091,antilgbt
29,Lewiston, ME,Mass Resistance,44.005818,-70.223698,antilgbt
30,St. Louis, MO,Mass Resistance,38.531852,-90.320515,antilgbt
31,Yorktown, VA,Mass Resistance,37.22878,-76.525397,antilgbt
32,Columbus, OH,Mission: America,39.808631,-83.21028,antilgbt
